Minifig Number,Set Number,Rebrickable ID,Theme,Name
,75954-1,fig-012289,Harry Potter,"Susan Bones, Hufflepuff Sweater, Short Legs, Plastic Hair"
,75954-1,fig-006188,Harry Potter,"Susan Bones, Hufflepuff Sweater, Short Legs, Rubber Hair"
,75955-1,fig-006173,Harry Potter,"Dementor, Black"
,75955-1,fig-006180,Harry Potter,"Harry Potter, Dark Blue Jacket with Zipper, Short Legs"
,75955-1,fig-006184,Harry Potter,"Hermione Granger, Light Bluish Gray Hoodie with Stripes, Short Legs"
,75955-1,fig-006181,Harry Potter,"Remus Lupin, Dark Bluish Gray Jacket over Olive Green Vest"
,75955-1,fig-006183,Harry Potter,"Ron Weasley, Plaid Jacket with Zipper, Short Legs"
,75955-1,fig-006182,Harry Potter,Trolley Lady
,75968-1,fig-008926,Harry Potter,"Dobby, Tan Vest, Open Mouth"
,75968-1,fig-008928,Harry Potter,Dudley Dursley
,75968-1,fig-008927,Harry Potter,"Harry Potter, Open Dark Red Shirt, Short Black Legs"
,75968-1,fig-008930,Harry Potter,Petunia Dursley
,75968-1,fig-006194,Harry Potter,"Ron Weasley, Dark Tan Sweater with Stripes, Short Legs"
,75968-1,fig-008929,Harry Potter,Vernon Dursley
,75969-1,fig-008953,Harry Potter,"Draco Malfoy, Open Long Robes over Slytherin Sweater"
,75969-1,fig-008951,Harry Potter,"Harry Potter, Long Robes with Pleats over Dark Red Shirt and Tie"
,75969-1,fig-008952,Harry Potter,"Hermione Granger, Bright Pink Dress"
,75969-1,fig-008955,Harry Potter,"Horace Slughorn, Reddish Brown Vest with Swirls"
,75969-1,fig-008960,Harry Potter,Lavender Brown
,75969-1,fig-008957,Harry Potter,"Luna Lovegood, Lavender Dress"
,75969-1,fig-008959,Harry Potter,"Neville Longbottom, White Robes"
,75969-1,fig-008954,Harry Potter,"Ron Weasley, Dark Turquoise Shirt"
,76895-1,fig-002108,Speed Champions,"Race Driver, Dark Red Torso, Dark Blue Legs, Black Helmet"
