Minifig Number,Set Number,Rebrickable ID,Theme,SubTheme,Name
sw0490,75021-1,fig-004002,Star Wars,EPII - Attack of the Clones,Padme Amidala - Geonosis Arena
poc011,,fig-001274,Pirates of the Caribbean,,Captain Jack Sparrow with Tricorne
poc001,,fig-002035,Pirates of the Caribbean,,Captain Jack Sparrow
sw0485,75020-1,fig-004010,Star Wars,EPVI - Return of the Jedi,Princess Leia Slave
sw0406,9516-1,fig-003930,Star Wars,EPVI - Return of the Jedi,Oola
sw0978,9516-1,87561pr0001,Star Wars,EPV - The Empire Strikes Back,Han Solo in Carbonite (Block with Handles)
